district,population
Bagalkot,2141784
Ballari,3096512
Belgaum,5354714
Bengaluru-Rural,1139694
Bidar,1903546
Chamarajanagar,1076085
Chikkaballapur,1364310
Chikmagalur,1136558
Chitradurga,1803209
Dakshina-Kannada,2335183
Davanagere,2102415
Dharwad,2099469
Gadag,1157112
Hassan,1840223
Haveri,1759087
Kalaburagi,2976434
Kodagu,560797
Kolar,1695959
Koppal,1594147
Mandya,1851525
Mysuru,3374961
Raichur,2187486
Ramanagar,1140574
Shivamogga,1864370
Tumakuru,2784099
Udupi,1307243
Uttara-Kannada,1516250
Vijayapura,2571844
Yadgir,1412445
BBMP-Bommanahalli,1104157
BBMP-Dasarahalli,536362
BBMP-East,2030933
BBMP-Mahadevpura,1073525
BBMP-RR-Nagar,895343
BBMP-South,2345502
BBMP-West,1524786
BBMP-Yelahanka,660342
Bengaluru-Urban,1076763
