Date,Bagalakote,Ballari,Belagavi,Bengaluru Rural,Bengaluru Urban,Bidar,Chamarajanagara,Chikkaballapura,Chikkamagaluru,Chitradurga,Dakshina Kannada,Davanagere,Dharwad,Gadag,Hassan,Haveri,Kalaburagi,Kodagu,Kolar,Koppal,Mandya,Mysuru,Raichur,Ramanagara,Shivamogga,Tumakuru,Udupi,Uttara Kannada,Vijayapura,Yadgiri,Others,Total
22-03-2020,0,0,0,0,17,0,0,2,0,0,0,0,1,0,0,0,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,26
23-03-2020,0,0,0,0,23,0,0,2,0,0,1,0,1,0,0,0,3,1,0,0,0,2,0,0,0,0,0,1,0,0,0,33
24-03-2020,0,0,0,0,24,0,0,3,0,0,5,0,1,0,0,0,3,1,0,0,0,2,0,0,0,0,0,2,0,0,0,41
25-03-2020,0,0,0,0,32,0,0,3,0,0,5,1,1,0,0,0,3,1,0,0,0,2,0,0,0,0,1,2,0,0,0,51
26-03-2020,0,0,0,0,35,0,0,3,0,0,5,1,1,0,0,0,3,1,0,0,0,3,0,0,0,0,1,2,0,0,0,55
27-03-2020,0,0,0,0,39,0,0,3,0,0,7,2,1,0,0,0,3,1,0,0,0,3,0,0,0,1,1,3,0,0,0,64
28-03-2020,0,0,0,0,41,0,0,8,0,0,7,3,1,0,0,0,3,1,0,0,0,3,0,0,0,1,1,7,0,0,0,76
29-03-2020,0,0,0,0,41,0,0,8,0,0,7,3,1,0,0,0,3,1,0,0,0,8,0,0,0,1,3,7,0,0,0,83
30-03-2020,0,0,0,0,41,0,0,8,0,0,7,3,1,0,0,0,3,1,0,0,0,12,0,0,0,2,3,7,0,0,0,88
31-03-2020,0,3,0,0,45,0,0,9,0,0,8,3,1,0,0,0,4,1,0,0,0,14,0,0,0,2,3,8,0,0,0,101
01-04-2020,0,3,0,0,48,0,0,9,0,0,9,3,1,0,0,0,4,1,0,0,0,19,0,0,0,2,3,8,0,0,0,110
02-04-2020,0,4,0,0,51,10,0,7,0,0,9,3,1,0,0,0,5,1,0,0,0,21,0,0,0,1,3,8,0,0,0,124
